Date,Price
11/22/2022,150.18
11/23/2022,151.07
11/25/2022,148.11
11/28/2022,144.22
11/29/2022,141.17
11/30/2022,148.03
12/1/2022,148.31
12/2/2022,147.81
12/5/2022,146.63
12/6/2022,142.91
12/7/2022,140.94
12/8/2022,142.65
12/9/2022,142.16
12/12/2022,144.49
12/13/2022,145.47
12/14/2022,143.21
12/15/2022,136.5
12/16/2022,134.51
12/19/2022,132.37
12/20/2022,132.3
12/21/2022,135.45
12/22/2022,132.23
12/23/2022,131.86
12/27/2022,130.03
12/28/2022,126.04
12/29/2022,129.61
12/30/2022,129.93
1/3/2023,125.07
1/4/2023,126.36
1/5/2023,125.02
1/6/2023,129.62
1/9/2023,130.15
1/10/2023,130.73
1/11/2023,133.49
1/12/2023,133.41
1/13/2023,134.76
1/17/2023,135.94
1/18/2023,135.21
1/19/2023,135.27
1/20/2023,137.87
